

0,2094
1,2097
2,2102
3,2101
4,2097
5,2078
6,2100
7,2100
8,2102
9,2103
10,2102
11,2100
12,2109
13,2103
14,2105
15,2101
16,2101
17,2105
18,2104
19,2103
20,2105
21,2108
22,2101
23,2102
24,2105
25,2105
26,2104
27,2107
28,2103
29,2108
30,2102
31,2104
32,2106
33,2108
34,2104
35,2109
36,2109
37,2108
38,2104
39,2103
40,2108
41,2105
42,2102
43,2104
44,2105
45,2107
46,2107
47,2103
48,2105
49,2107
50,2107
51,2109
52,2107
53,2103
54,2104
55,2105
56,2161
57,2105
58,2112
59,2105
60,2103
61,2108
62,2115
63,2108
64,2107
65,2114
66,2108
67,2112
68,2108
69,2105
70,2107
71,2103
72,2106
73,2106
74,2106
75,2107
76,2108
77,2108
78,2117
79,2110
80,2108
81,2107
82,2109
83,2112
84,2105
85,2108
86,2106
87,2109
88,2107
89,2066
90,2099
91,2105
92,2110
93,2107
94,2107
95,2110
96,2109
97,2106
98,2106
99,2108
100,2106
101,2109
102,2108
103,2107
104,2109
105,2108
106,2110
107,2110
108,2105
109,2142
110,2102
111,2108
112,2108
113,2100
114,2105
115,2105
116,2107
117,2105
118,2101
119,2105
120,2105
121,2113
122,2108
123,2118
124,2105
125,2111
126,2111
127,2097
128,2105
129,2108
130,2103
131,2104
132,2108
133,2108
134,2106
135,2109
136,2110
137,2108
138,2112
139,2112
140,2111
141,2102
142,2053
143,2104
144,2104
145,2107
146,2109
147,2106
148,2107
149,2110
150,2110
151,2109
152,2116
153,2107
154,2106
155,2110
156,2108
157,2107
158,2109
159,2116
160,2113
161,2108
162,2100
163,2110
164,2109
165,2110
166,2110
167,2108
168,2106
169,2107
170,2107
171,2104
172,2110
173,2108
174,2104
175,2110
176,2111
177,2102
178,2107
179,2107
180,2107
181,2109
182,2110
183,2108
184,2106
185,2107
186,2109
187,2104
188,2107
189,2109
190,2109
191,2105
192,2104
193,2108
194,2116
195,2158
196,2109
197,2110
198,2109
199,2109
200,2107
201,2110
202,2110
203,2107
204,2107
205,2110
206,2120
207,2108
208,2109
209,2096
210,2106
211,2106
212,2109
213,2108
214,2108
215,2101
216,2108
217,2111
218,2109
219,2108
220,2120
221,2105
222,2106
223,2104
224,2112
225,2109
226,2109
227,2107
228,2108
229,2105
230,2108
231,2101
232,2108
233,2107
234,2110
235,2109
236,2111
237,2108
238,2109
239,2111
240,2106
241,2108
242,2116
243,2107
244,2109
245,2111
246,2108
247,2106
248,2109
249,2108
250,2110
251,2110
252,2109
253,2108
254,2109
255,2105
256,2110
257,2112
258,2106
259,2102
260,2110
261,2103
262,2110
263,2105
264,2108
265,2107
266,2108
267,2105
268,2112
269,2107
270,2108
271,2108
272,2104
273,2113
274,2107
275,2106
276,2104
277,2114
278,2107
279,2108
280,2109
281,2112
282,2109
283,2109
284,2108
285,2108
286,2105
287,2112
288,2109
289,2108
290,2108
291,2112
292,2109
293,2106
294,2106
295,2110
296,2108
297,2108
298,2108
299,2108
300,2103
301,2104
302,2108
303,2105
304,2112
305,2106
306,2110
307,2108
308,2109
309,2108
310,2107
311,2110
312,2107
313,2105
314,2109
315,2107
316,2107
317,2087
318,2100
319,2108
320,2108
321,2113
322,2109
323,2110
324,2107
325,2109
326,2109
327,2107
328,2108
329,2110
330,2109
331,2105
332,2109
333,2109
334,2110
335,2108
336,2064
337,2110
338,2105
339,2110
340,2108
341,2109
342,2107
343,2109
344,2109
345,2111
346,2106
347,2108
348,2110
349,2111
350,2107
351,2116
352,2108
353,2106
354,2114
355,2112
356,2132
357,2107
358,2108
359,2104
360,2103
361,2107
362,2110
363,2108
364,2109
365,2116
366,2106
367,2110
368,2108
369,2104
370,2108
371,2107
372,2106
373,2106
374,2104
375,2108
376,2109
377,2108
378,2104
379,2110
380,2109
381,2111
382,2111
383,2104
384,2104
385,2108
386,2106
387,2103
388,2108
389,2092
390,2108
391,2107
392,2108
393,2108
394,2108
395,2109
396,2108
397,2109
398,2111
399,2107
400,2108
401,2106
402,2105
403,2108
404,2110
405,2109
406,2104
407,2094
408,2108
409,2102
410,2108
411,2109
412,2108
413,2109
414,2104
415,2111
416,2110
417,2106
418,2099
419,2112
420,2108
421,2111
422,2106
423,2124
424,2107
425,2105
426,2108
427,2104
428,2106
429,2107
430,2109
431,2111
432,2108
433,2110
434,2110
435,2110
436,2108
437,2109
438,2108
439,2111
440,2110
441,2101
442,2069
443,2107
444,2105
445,2108
446,2111
447,2108
448,2110
449,2110
450,2105
451,2108
452,2108
453,2106
454,2107
455,2107
456,2108
457,2107
458,2109
459,2105
460,2108
461,2109
462,2104
463,2109
464,2106
465,2109
466,2110
467,2108
468,2113
469,2111
470,2108
471,2098
472,2110
473,2110
474,2105
475,2108
476,2107
477,2103
478,2104
479,2111
480,2110
481,2106
482,2108
483,2108
484,2110
485,2098
486,2110
487,2108
488,2107
489,2110
490,2107
491,2108
492,2106
493,2107
494,2107
495,2166
496,2110
497,2104
498,2106
499,2106
500,2109
501,2105
502,2110
503,2108
504,2104
505,2109
506,2144
507,2108
508,2106
509,2110
510,2107
511,2110
512,2108
513,2104
514,2108
515,2099
516,2108
517,2107
518,2108
519,2108
520,2109
521,2109
522,2107
523,2098
524,2114
525,2110
526,2108
527,2104
528,2105
529,2108
530,2110
531,2108
532,2110
533,2108
534,2103
535,2110
536,2109
537,2108
538,2110
539,2107
540,2110
541,2112
542,2107
543,2108
544,2107
545,2107
546,2107
547,2108
548,2102
549,2107
550,2110
551,2108
552,2106
553,2108
554,2108
555,2108
556,2111
557,2108
558,2108
559,2112
560,2108
561,2108
562,2105
563,2109
564,2110
565,2116
566,2108
567,2108
568,2115
569,2105
570,2110
571,2110
572,2108
573,2111
574,2110
575,2104
576,2108
577,2110
578,2108
579,2103
580,2104
581,2105
582,2105
583,2108
584,2106
585,2108
586,2108
587,2107
588,2109
589,2109
590,2109
591,2106
592,2108
593,2108
594,2104
595,2108
596,2109
597,2108
598,2105
599,2110
600,2110
601,2106
602,2107
603,2108
604,2109
605,2109
606,2108
607,2106
608,2111
609,2107
610,2108
611,2107
612,2111
613,2109
614,2102
615,2113
616,2108
617,2079
618,2104
619,2110
620,2111
621,2108
622,2110
623,2110
624,2104
625,2107
626,2112
627,2112
628,2105
629,2108
630,2105
631,2106
632,2104
633,2112
634,2109
635,2108
636,2114
637,2109
638,2105
639,2107
640,2109
641,2108
642,2108
643,2110
644,2106
645,2108
646,2110
647,2107
648,2108
649,2112
650,2108
651,2105
652,2107
653,2118
654,2104
655,2108
656,2069
657,2110
658,2105
659,2109
660,2112
661,2108
662,2108
663,2110
664,2116
665,2114
666,2111
667,2108
668,2107
669,2106
670,2115
671,2103
672,2107
673,2108
674,2104
675,2105
676,2107
677,2104
678,2106
679,2108
680,2111
681,2107
682,2107
683,2106
684,2106
685,2108
686,2110
687,2104
688,2106
689,2117
690,2110
691,2091
692,2111
693,2110
694,2100
695,2109
696,2108
697,2108
698,2108
699,2109
700,2107
701,2108
702,2107
703,2103
704,2105
705,2108
706,2115
707,2113
708,2110
709,2098
710,2108
711,2106
712,2110
713,2108
714,2106
715,2112
716,2110
717,2106
718,2104
719,2108
720,2108
